Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30,Channel_31,Channel_32,Channel_33,Channel_34,Channel_35,Channel_36,Channel_37,Channel_38,Channel_39,Channel_40,Channel_41,Channel_42,Channel_43,Channel_44,Channel_45,Channel_46,Channel_47,Channel_48,Channel_49,Channel_50,Channel_51,Channel_52,Channel_53,Channel_54,Channel_55,Channel_56,Channel_57,Channel_58,Channel_59,Channel_60,Channel_61,Channel_62,Channel_63
101.970093,102.169212,101.912666,102.272369,102.222954,102.252632,102.235237,101.959290,102.314621,102.311546,101.986916,102.109573,102.026329,101.936256,101.903999,102.264046,102.358665,102.397423,101.939720,102.245392,102.229141,102.293861,102.381699,101.932030,102.291016,102.322372,102.378433,102.299095,102.057037,102.263680,102.402504,102.321350,102.322090,102.366089,102.349915,102.300781,102.333435,102.311081,102.387093,102.285957,102.451027,102.361351,102.307640,102.383957,102.343124,102.340286,102.285164,102.380081,102.522888,102.412254,102.364449,102.251785,102.295639,102.315231,102.340714,102.342598,102.421730,102.425980,102.390488,102.327713,102.339188,102.327400,102.406715,102.313026
101.969421,102.168869,101.912666,102.272034,102.222290,102.253296,102.236244,101.958954,102.314621,102.312210,101.986580,102.110710,102.026192,101.936600,101.903999,102.264374,102.359337,102.397095,101.940392,102.245567,102.229469,102.293182,102.381363,101.933182,102.290878,102.324196,102.379936,102.297585,102.054565,102.263680,102.402504,102.322021,102.322090,102.365257,102.349915,102.300781,102.333435,102.312225,102.387428,102.286301,102.452026,102.361694,102.306442,102.383957,102.343452,102.341423,102.285164,102.380753,102.522888,102.412598,102.365616,102.252144,102.295975,102.314896,102.340714,102.342270,102.421730,102.426315,102.389336,102.328903,102.339188,102.327065,102.407387,102.313026
101.968758,102.168869,101.911484,102.272034,102.222290,102.252632,102.236572,101.958626,102.314621,102.312546,101.986244,102.110710,102.028320,101.936600,101.903999,102.264046,102.360008,102.396767,101.941055,102.245567,102.229469,102.294327,102.382027,101.932724,102.291542,102.325508,102.379936,102.298096,102.053604,102.263680,102.402504,102.321678,102.323578,102.364922,102.349564,102.302292,102.332756,102.312553,102.387093,102.285957,102.453201,102.361694,102.307640,102.383957,102.343124,102.341751,102.285500,102.380295,102.522560,102.413742,102.365616,102.252487,102.296783,102.315689,102.340714,102.342270,102.421730,102.426964,102.390823,102.329224,102.339523,102.328400,102.407043,102.313026
101.968758,102.168869,101.911659,102.272034,102.222618,102.252960,102.237251,101.958626,102.314957,102.311050,101.985916,102.110710,102.027977,101.937584,101.903999,102.264046,102.359673,102.396423,101.940720,102.245567,102.229797,102.294327,102.382347,101.932724,102.290878,102.325508,102.379601,102.297760,102.053925,102.263680,102.401512,102.322021,102.323578,102.365257,102.349915,102.301971,102.333099,102.311745,102.387772,102.287758,102.451355,102.361351,102.307976,102.383446,102.343605,102.340622,102.285164,102.379959,102.522560,102.412743,102.365112,102.252144,102.296783,102.316032,102.340714,102.341934,102.421730,102.427635,102.389671,102.329048,102.339523,102.329079,102.407570,102.313026
101.968422,102.169548,101.911659,102.272369,102.222954,102.254120,102.236755,101.958626,102.315292,102.311546,101.985245,102.111053,102.027328,101.938744,101.904510,102.264046,102.360672,102.396767,101.940392,102.245895,102.229469,102.293640,102.382347,101.932724,102.290550,102.324844,102.379601,102.297432,102.054779,102.263680,102.402367,102.321678,102.324783,102.365257,102.349915,102.302628,102.332619,102.311417,102.388107,102.288101,102.451355,102.361694,102.307976,102.382767,102.342941,102.340408,102.284683,102.379959,102.523682,102.413071,102.365616,102.252487,102.296120,102.316368,102.340378,102.341934,102.422409,102.427635,102.389000,102.329910,102.339523,102.329910,102.407043,102.312523
101.969917,102.170670,101.912331,102.272705,102.223289,102.254776,102.237251,101.958626,102.314621,102.310867,101.985054,102.111389,102.026329,101.937920,101.904510,102.264046,102.360672,102.396767,101.940392,102.245567,102.230141,102.293640,102.382027,101.933395,102.290230,102.324516,102.378922,102.297432,102.053925,102.263680,102.401833,102.321350,102.325119,102.366089,102.349564,102.301971,102.332619,102.311417,102.388443,102.288101,102.451355,102.361694,102.308311,102.382767,102.343430,102.340408,102.285500,102.378937,102.523232,102.413742,102.364952,102.253265,102.295303,102.316872,102.340714,102.342270,102.422409,102.426964,102.389000,102.330574,102.339981,102.330246,102.407570,102.314026
101.969917,102.171005,101.912666,102.271896,102.224274,102.254631,102.237251,101.958954,102.314957,102.312027,101.984711,102.111717,102.025337,101.938255,101.904510,102.263710,102.362503,102.397095,101.940392,102.245064,102.230583,102.294327,102.382027,101.933739,102.290680,102.324516,102.378922,102.297096,102.055435,102.263680,102.401512,102.322021,102.323578,102.366760,102.348885,102.302505,102.333771,102.311745,102.388443,102.288765,102.451027,102.361694,102.308311,102.383110,102.342270,102.340286,102.285500,102.380081,102.523575,102.414749,102.364616,102.252571,102.296120,102.316872,102.340714,102.341934,102.422745,102.426964,102.388321,102.330238,102.339874,102.330582,102.407570,102.313362
101.969566,102.170219,101.913498,102.273048,102.223938,102.254303,102.237251,101.958954,102.314957,102.312363,101.985054,102.111389,102.025337,101.937584,101.904854,102.263710,102.362015,102.397095,101.940392,102.244720,102.231255,102.295013,102.382347,101.933395,102.292007,102.324516,102.379257,102.297432,102.055214,102.263680,102.402504,102.321678,102.324783,102.367096,102.349228,102.300957,102.334122,102.311417,102.388443,102.289108,102.450363,102.362030,102.307976,102.382423,102.342270,102.339600,102.285828,102.380081,102.523575,102.414413,102.364616,102.251450,102.296120,102.317215,102.341377,102.341934,102.422745,102.426636,102.388664,102.330238,102.340546,102.329910,102.408241,102.313538
101.969231,102.171341,101.912666,102.273376,102.224274,102.255783,102.237579,101.959625,102.314957,102.312698,101.986580,102.111389,102.025337,101.937256,101.904510,102.262886,102.362839,102.397095,101.940048,102.245064,102.230919,102.295349,102.382698,101.933395,102.292206,102.324196,102.378571,102.297432,102.054886,102.264008,102.402504,102.322021,102.324448,102.367935,102.348885,102.302170,102.333771,102.310745,102.388443,102.287964,102.450035,102.362030,102.307304,102.382088,102.342766,102.339951,102.285500,102.379402,102.522888,102.414413,102.365280,102.251785,102.295624,102.317886,102.340538,102.341934,102.423416,102.427475,102.388664,102.330574,102.340546,102.329575,102.408913,102.313538
101.968559,102.171677,101.911995,102.273048,102.224274,102.254440,102.237907,101.959625,102.314285,102.313362,101.986244,102.111053,102.026993,101.937744,101.904182,102.263222,102.363174,102.398880,101.940048,102.244392,102.230583,102.295349,102.383514,101.933060,102.292206,102.323204,102.379936,102.297096,102.056076,102.264008,102.402832,102.322021,102.323418,102.368271,102.348541,102.302505,102.334122,102.310410,102.388779,102.288101,102.450523,102.362030,102.307304,102.381752,102.342270,102.338943,102.285500,102.379066,102.523232,102.413071,102.365280,102.251785,102.295120,102.317886,102.340210,102.341263,102.423546,102.426964,102.389000,102.330574,102.340660,102.329575,102.408043,102.312363
